id,date,district,locality,category,department,transcript,sentiment,sentiment_score,priority
61,2025-05-23,Idukki,Ward 7,Public Safety,Police Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Idukki district, near Ward 7, I wanted to know the process to file a noise complaint for Ward 7. Thank you, I just wanted some information.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Neutral,0.34,Low
62,2026-06-11,Alappuzha,School Lane,Healthcare,Health Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Alappuzha district, near School Lane, the government hospital in School Lane has been short staffed for 9 days and patients are waiting for hours. Please get this resolved as soon as possible.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Negative,-0.7,High
63,2025-10-24,Kozhikode,Railway Station Road,Internet Services,IT & Telecom Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, calling from Kozhikode district. In Kozhikode, near Railway Station Road, I appreciate how fast the complaint about Railway Station Road was handled, thank you.
Support Executive: That's wonderful to hear, thank you for the feedback, I will pass it on to the team.
Citizen: No problem, keep up the good work.
Support Executive: Thank you, have a great day!",Positive,0.57,Low
64,2025-09-01,Kozhikode,Bus Stand area,Healthcare,Health Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Kozhikode district, near Bus Stand area, I want to raise a concern about cleanliness at the Bus Stand area health centre. Please look into this when possible.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Neutral,-0.14,Medium
65,2025-11-19,Kottayam,Temple Junction,Roads,Public Works Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Kottayam district, near Temple Junction, drainage on the side of the Temple Junction road is broken and water pools on the street. Please look into this when possible.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Neutral,-0.18,Medium
66,2025-07-11,Kottayam,Collectorate Road,Electricity,Electricity Board,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Kottayam district, near Collectorate Road, the meter reading at our Collectorate Road residence appears to be incorrect. Kindly forward this to the concerned department.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Neutral,-0.15,Medium
67,2026-04-25,Ernakulam,Railway Station Road,Healthcare,Health Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good morning, I would like to report a problem. In Ernakulam district, near Railway Station Road, the medicine stock at the Railway Station Road dispensary seems to be running low. Please look into this when possible.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Neutral,-0.15,Medium
68,2025-09-28,Wayanad,Hospital Road,Roads,Public Works Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good afternoon, I want to bring an urgent issue to your notice. In Wayanad district, near Hospital Road, the road resurfacing work near Hospital Road has been incomplete for a while now. It would help if this could be addressed soon.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Neutral,0.1,Medium
69,2025-09-23,Thiruvananthapuram,Market Road,Roads,Public Works Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good morning, I would like to report a problem. In Thiruvananthapuram district, near Market Road, a massive pothole on Market Road caused a bike accident yesterday and someone was injured. This is an emergency, we need help right now.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Negative,-0.83,Critical
70,2025-03-30,Kannur,MG Road,Public Safety,Police Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Kannur district, near MG Road, the CCTV cameras installed near MG Road have not been working for a while. Kindly forward this to the concerned department.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Neutral,-0.27,Medium
71,2026-01-03,Kottayam,Bus Stand area,Water Supply,Water Authority,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I have been trying to reach someone about this for a while. In Kottayam district, near Bus Stand area, water supply has been irregular for 9 days, we only get water for an hour in the morning. Please get this resolved as soon as possible.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Negative,-0.46,High
